event,group,country,athlete_name, distance_M
Mens DISCUS THROW, FINAL,JAM	,STONA							,70.00 
Mens DISCUS THROW, FINAL,LTU	,ALEKNA						,69.97 
Mens DISCUS THROW, FINAL,AUS ,DENNY							,69.31 
Mens DISCUS THROW, FINAL,SLO ,CEH								,68.41 
Mens DISCUS THROW, FINAL,AUT ,WEISSHAIDINGER 		,67.54 
Mens DISCUS THROW, FINAL,GER ,PRUEFER						,67.41 
Mens DISCUS THROW, FINAL,SWE ,STAHL							,66.95 
Mens DISCUS THROW, FINAL,LTU ,GUDZIUS						,66.55 
Mens DISCUS THROW, FINAL,JAM,MULLINGS					,65.61 
Mens DISCUS THROW, FINAL,JAM ,SMIKLE						,64.97
Mens DISCUS THROW, FINAL,ROU ,FIRFIRICA					,64.45 
Mens DISCUS THROW, FINAL,SAM ,ROSE							,61.89 
