event, group, country, athlete_name,  distance_M
WOMENS HEPTATHLON , SHOT PUT, BEL, THIAM,15.54
WOMENS HEPTATHLON , SHOT PUT, NED ,VETTER,15.07
WOMENS HEPTATHLON , SHOT PUT, BEL, VIDTS,14.57
WOMENS HEPTATHLON , SHOT PUT, NED, OOSTERWEGEL,14.54
WOMENS HEPTATHLON , SHOT PUT, GBR,JOHNSON-THOMPSON	,14.44
WOMENS HEPTATHLON , SHOT PUT,FIN	,VANNINEN,14.19
WOMENS HEPTATHLON , SHOT PUT,COL	,ARAUJO,14.15
WOMENS HEPTATHLON , SHOT PUT,USA ,HALL,14.11
WOMENS HEPTATHLON , SHOT PUT,GER	,SCHAEFER,14.02
WOMENS HEPTATHLON , SHOT PUT,SUI,	KAELIN,14.02 
WOMENS HEPTATHLON , SHOT PUT,NED	,DOKTER,13.97
WOMENS HEPTATHLON , SHOT PUT,POL	,SULEK-SCHUBERT,13.94
WOMENS HEPTATHLON , SHOT PUT,HUN	,KRIZSAN,13.89
WOMENS HEPTATHLON , SHOT PUT,IRL	,O'CONNOR,13.79
WOMENS HEPTATHLON , SHOT PUT,FRA	,LAZRAQ-KHLASS,13.69
WOMENS HEPTATHLON , SHOT PUT,HUN	,NEMES,13.64
WOMENS HEPTATHLON , SHOT PUT,USA ,HAWKINS,13.64
WOMENS HEPTATHLON , SHOT PUT,USA	,BROOKS,13.58
WOMENS HEPTATHLON , SHOT PUT,AUS	,NEWTON-SMITH,13.11
WOMENS HEPTATHLON , SHOT PUT,GBR	,O'DOWDA,13.10
WOMENS HEPTATHLON , SHOT PUT,AUS	,WEST,12.81
WOMENS HEPTATHLON , SHOT PUT,ITA	,GEREVINI,12.80
WOMENS HEPTATHLON , SHOT PUT,GER	,WEISSENBERG,DNS
