event, group, country, athlete_name, distance_M
WOMENS LONG JUMP, ,USA	,DAVIS-WOODHALL		,7.10 
WOMENS LONG JUMP, ,GER,	MIHAMBO,6.98 
WOMENS LONG JUMP, ,USA	,MOORE,6.96 
WOMENS LONG JUMP, ,ITA	,IAPICHINO,6.87
WOMENS LONG JUMP, ,NGR	,BRUME,6.70
WOMENS LONG JUMP, ,USA	,NICHOLS,6.67
WOMENS LONG JUMP, ,ROU	,ROTARU-KOTTMANN,6.67
WOMENS LONG JUMP, ,JAM	,SMITH,6.66
WOMENS LONG JUMP, ,BUR	,KOALA,6.61
WOMENS LONG JUMP, ,NGR	,USORO,6.58
WOMENS LONG JUMP, ,FRA	,KPATCHA,6.56
WOMENS LONG JUMP, ,NGR	,OCHONOGOR,6.24
