event, group, country, athlete_name, distance_M
WOMENS SHOT PUT, FINAL,GER ,OGUNLEYE	,20.00
WOMENS SHOT PUT, FINAL,NZL	,WESCHE		,19.86 
WOMENS SHOT PUT, FINAL,CHN	,SONG			,19.32 
WOMENS SHOT PUT, FINAL,USA ,ROSS			,19.28 
WOMENS SHOT PUT, FINAL,CHN	,GONG			,19.27 
WOMENS SHOT PUT, FINAL,NED ,SCHILDER  ,18.91 
WOMENS SHOT PUT, FINAL,SWE	,ROOS			,18.78 
WOMENS SHOT PUT, FINAL,POR	,INCHUDE		,18.41 
WOMENS SHOT PUT, FINAL,GER ,KENZEL		,18.29 
WOMENS SHOT PUT, FINAL,SWE ,JOHANSSON	,18.03 
WOMENS SHOT PUT, FINAL,USA	,SAUNDERS 	,17.79 
WOMENS SHOT PUT, FINAL,CAN	,MITTON		,17.48 
